1,32,2,3,1,2,80,3,2,2,1,6.06,6.2,6,5.6,6.5,6.71,6.75,6.67,4.67,4.33,5,1.58,1.17,2,3.67,3.25,3.5,2.67,2,2,1.4,2.5,2.5,4,1.33,1.5,4,3.83,5,3.5,3
2,33,1,1,5,2,110,2,2,2,0,5.59,5.6,5.67,4.6,6.75,4.43,4,5,3.83,4,3.67,3,2.83,3.17,4.33,3,2,2.67,1.5,2.75,2.4,4,2.5,3.5,2.67,2.25,4,3.47,4.25,1.5,4.67
3,29,2,1,4,3,100,3,1,2,0,4.47,4.8,6.67,3.6,3.5,4.14,4.25,4,1.67,1.33,2,4.33,3.33,5.33,2,4,3,5,5,4.5,5,5,4.5,5,5,5,5,1.67,1.25,2.75,1
3,25,2,2,1,0,55,3,2,2,1,6.71,6.6,7,6.8,6.5,6,6,6,3.83,4,3.67,2,2.33,1.67,4.33,3.25,2.5,3.33,1,5,1,3,3,3.5,3.67,3,3.33,3.67,3.5,3.5,4
4,30,2,1,4,2,23,3,3,3,0,6.41,6.6,7,6.2,6,7,7,7,4.5,5,4,2.08,2.83,1.33,4,2.75,2,2.67,1,2.75,1.4,1,1.25,1,1.67,2,4,3.17,4.5,1,4
8,32,1,1,3,3,100,3,2,2,0,5.94,6,6,5.8,6,5.86,6,5.67,2.5,2,3,3.42,2.67,4.17,2.67,1.75,1.5,2.67,5,1.75,1.6,2.5,1.75,5,1.67,2.25,4,2.42,4.25,1,2
10,28,2,1,6,2,60,2,2,2,0,7,7,7,7,7,7,7,7,3.83,3.67,4,2.67,2.33,3,3,3,2.5,3,3,3,3,3,3,3,2,1.5,2.67,3.39,4,2.5,3.67
11,21,2,1,3,1,180,1,2,2,1,6,6.2,5.67,6,6,6.14,6.25,6,2.83,2.67,3,2.33,2.5,2.17,2,1,2,3,4.5,3,1.2,2.5,3.25,3,2.33,2.25,2,3.03,4,2.75,2.33
12,22,2,4,6,0,200,3,2,2,1,5.82,5.6,6,6,5.75,5.29,5,5.67,3,2,4,3.5,2.17,4.83,4,4.25,3.5,4,3,4,4,4,3.75,5,2,5,1.67,2.83,2.25,3.25,3
14,38,2,1,5,2,999,2,1,2,1,5.29,5.4,5,4.4,6.5,3.57,3.25,4,3,2.67,3.33,2.42,2.33,2.5,4,4,4.5,4.67,5,3,3,4,3,4,2.67,1.75,2.33,3,4.25,1.75,3
18,50,2,1,2,2,125,2,2,2,0,6.24,6.2,6,6,6.75,6.71,7,6.33,4.67,4.67,4.67,1,1,1,4,1.75,1.5,1.33,2,2.75,1,3,1.5,3,2,1,4,3.08,4,2.25,3
18,20,2,3,3,0,15,2,2,1,1,5.76,6.2,6,5.6,5.25,5.86,6,5.67,3,3,3,3.17,2.83,3.5,2.67,4.25,1,4,1,3.5,1.4,4,3,4,3.67,3.5,4,2.92,3.5,1.25,4
20,21,2,1,2,2,200,3,1,2,0,6.53,6.2,6.33,7,6.5,6.71,7,6.33,3.33,3,3.67,3.92,3.17,4.67,3.67,3.5,4,5,5,3,3,4,5,5,1.67,4.25,3,1.67,1,2,2
21,29,1,1,3,3,100,3,3,2,0,5,5.8,3.67,5.8,4,5.14,4,6.67,2.17,2.33,2,4.08,4,4.17,2.67,4,3.5,3.67,5,4.5,2,4,3.25,5,1.67,2.25,3.33,2.33,4,1,2
24,22,2,4,6,3,120,3,2,2,0,6.29,6.4,5.67,7,5.75,6.86,6.75,7,2.17,2.33,2,3.58,3.17,4,3.67,3,1.5,4.67,2,3.25,4.4,3.5,3.25,5,2.33,2.75,4,3.14,4.75,1,3.67
26,24,2,3,3,1,50,1,1,2,1,6.18,6,7,6,6,5.57,5.5,5.67,3,3.33,2.67,2.08,1.67,2.5,3.33,1.5,2.5,2.67,2,3.75,1.8,2,1.75,4.5,1.67,2.5,4.33,2.75,4,1.25,3
